CustomerID,TransactionDate,Amount
C0001,2025-11-04,387.68
C0001,2026-01-03,361.03
C0001,2025-12-24,440.14
C0001,2025-11-04,362.9
C0001,2025-11-21,341.14
C0001,2025-12-19,317.99
C0001,2025-06-08,197.95
C0001,2025-08-20,157.35
C0001,2026-01-12,447.8
C0001,2026-02-03,66.37
C0001,2026-02-26,19.1
C0002,2025-08-02,220.71
C0002,2026-03-23,211.67
C0002,2026-01-04,48.39
C0002,2025-07-09,120.08
C0002,2026-01-08,318.76
C0002,2025-08-09,185.64
C0002,2026-02-12,260.5
C0002,2026-05-02,110.94
C0002,2026-02-28,191.77
C0002,2025-08-13,256.37
C0002,2026-02-16,336.64
C0002,2025-10-21,49.24
C0002,2026-02-19,342.64
C0002,2025-10-11,154.14
C0002,2026-04-02,213.41
C0002,2025-10-10,76.09
C0003,2026-02-20,88.6
C0003,2025-10-30,271.67
C0003,2025-09-15,159.97
C0003,2025-10-05,136.05
C0003,2026-03-12,245.49
C0003,2026-02-21,198.39
C0003,2026-01-07,111.0
C0003,2025-06-13,68.01
C0003,2026-02-15,172.16
C0003,2025-10-11,31.81
C0003,2025-07-10,183.55
C0003,2026-01-08,146.8
C0003,2025-12-14,20.55
C0003,2025-09-22,208.82
C0003,2025-10-18,475.88
C0003,2026-02-08,121.81
C0004,2026-01-05,420.44
C0004,2025-08-13,13.53
C0004,2025-09-29,41.06
C0004,2025-07-12,26.09
C0004,2025-12-03,419.17
C0004,2025-11-14,397.95
C0004,2025-07-06,161.45
C0004,2026-02-14,221.37
C0004,2026-04-05,144.43
C0005,2026-05-01,200.35
C0005,2026-03-27,128.13
C0006,2025-10-20,266.37
C0006,2026-03-04,103.04
C0006,2025-06-07,361.87
C0006,2025-10-15,427.5
C0006,2025-07-11,320.59
C0006,2025-08-23,333.35
C0006,2025-12-29,321.13
C0006,2025-12-19,166.94
C0006,2025-10-29,172.94
C0006,2025-10-01,214.58
C0006,2025-09-17,274.1
C0006,2025-08-15,202.57
C0006,2025-09-05,129.48
C0006,2025-06-23,499.01
C0006,2025-09-01,37.81
C0006,2025-08-25,247.22
C0007,2026-01-23,352.57
C0007,2025-08-08,285.23
C0007,2025-09-29,445.91
C0007,2025-07-28,76.59
C0007,2026-04-13,121.5
C0007,2025-06-18,20.93
C0007,2026-04-06,391.62
C0007,2025-11-04,432.07
C0007,2026-01-02,231.63
C0007,2025-06-24,129.02
C0007,2025-05-25,122.31
C0007,2025-12-23,390.76
C0007,2026-04-20,39.4
C0007,2026-03-29,193.79
C0007,2025-12-20,23.05
C0008,2025-12-04,202.91
C0008,2025-12-02,413.86
C0008,2025-10-24,425.05
C0008,2026-01-02,233.08
C0008,2025-10-04,420.27
C0008,2025-12-06,457.03
C0008,2025-07-08,248.63
C0008,2026-03-13,494.61
C0009,2026-01-29,400.25
C0010,2026-03-24,33.79
C0010,2025-06-15,91.75
C0010,2026-02-19,223.27
C0011,2025-07-10,325.56
C0011,2026-05-01,40.36
C0011,2026-03-10,458.18
C0011,2025-10-10,226.44
C0011,2026-04-27,125.95
C0011,2025-12-29,273.41
C0012,2025-07-11,16.87
C0012,2025-09-06,486.14
C0012,2025-05-28,146.88
C0012,2026-02-18,427.82
C0012,2025-10-01,265.15
C0013,2025-09-01,160.11
C0013,2025-09-05,496.12
C0013,2025-10-27,393.85
C0013,2025-09-16,414.65
C0013,2026-01-31,454.48
C0013,2025-06-08,95.06
C0013,2026-01-25,211.84
C0013,2025-05-28,325.52
C0013,2025-11-04,211.1
C0013,2025-06-18,390.67
C0013,2026-02-28,260.24
C0013,2025-05-22,177.28
C0013,2026-01-13,64.75
C0013,2026-01-22,398.98
C0013,2025-10-28,219.81
C0013,2025-05-04,89.02
C0013,2025-07-28,50.55
C0014,2025-05-13,210.28
C0014,2025-10-24,255.65
C0014,2026-03-26,397.08
C0014,2026-02-25,161.08
C0014,2025-09-04,363.0
C0014,2025-07-10,347.73
C0014,2025-11-24,262.63
C0014,2026-02-21,228.08
C0014,2026-02-24,119.13
C0014,2025-10-15,396.81
C0014,2025-09-08,163.84
C0014,2026-03-15,46.91
C0014,2025-08-24,212.86
C0015,2025-11-04,30.62
C0015,2025-06-15,233.9
C0015,2026-03-21,38.41
C0015,2025-05-10,75.46
C0015,2025-10-24,107.34
C0015,2026-04-09,195.47
C0015,2025-09-16,59.9
C0016,2025-10-28,14.44
C0016,2025-12-16,188.58
C0016,2026-02-28,126.74
C0016,2025-05-06,325.1
C0016,2026-01-03,423.92
C0016,2025-05-04,36.99
C0016,2025-11-08,215.67
C0016,2026-01-01,414.21
C0016,2025-08-05,41.56
C0016,2025-10-19,50.36
C0016,2025-09-09,469.4
C0016,2025-05-14,162.79
C0016,2025-07-18,97.59
C0017,2026-03-26,125.88
C0017,2025-05-24,270.11
C0017,2026-03-04,257.65
C0017,2025-12-24,26.66
C0017,2025-06-01,369.85
C0017,2025-11-09,198.66
